as_of_date,status,value
10/1/2023,Non-COVID,200
10/1/2023,COVID,2
10/1/2023,Empty,98
11/1/2023,Non-COVID,186
11/1/2023,COVID,3
11/1/2023,Empty,111
12/1/2023,Non-COVID,187
12/1/2023,COVID,3
12/1/2023,Empty,111
13/1/2023,Non-COVID,176
13/1/2023,COVID,3
13/1/2023,Empty,121
14/1/2023,Non-COVID,182
14/1/2023,COVID,3
14/1/2023,Empty,115
15/1/2023,Non-COVID,170
15/1/2023,COVID,3
15/1/2023,Empty,127
16/1/2023,Non-COVID,179
16/1/2023,COVID,2
16/1/2023,Empty,119
17/1/2023,Non-COVID,195
17/1/2023,COVID,2
17/1/2023,Empty,103
18/1/2023,Non-COVID,187
18/1/2023,COVID,1
18/1/2023,Empty,112
19/1/2023,Non-COVID,184
19/1/2023,COVID,1
19/1/2023,Empty,114
20/1/2023,Non-COVID,172
20/1/2023,COVID,1
20/1/2023,Empty,127
21/1/2023,Non-COVID,179
21/1/2023,COVID,1
21/1/2023,Empty,120
22/1/2023,Non-COVID,164
22/1/2023,COVID,2
22/1/2023,Empty,133
23/1/2023,Non-COVID,164
23/1/2023,COVID,1
23/1/2023,Empty,134
24/1/2023,Non-COVID,166
24/1/2023,COVID,1
24/1/2023,Empty,132
25/1/2023,Non-COVID,148
25/1/2023,COVID,1
25/1/2023,Empty,150
26/1/2023,Non-COVID,155
26/1/2023,COVID,1
26/1/2023,Empty,143
27/1/2023,Non-COVID,153
27/1/2023,COVID,2
27/1/2023,Empty,145
28/1/2023,Non-COVID,154
28/1/2023,COVID,2
28/1/2023,Empty,144
29/1/2023,Non-COVID,167
29/1/2023,COVID,1
29/1/2023,Empty,132
30/1/2023,Non-COVID,158
30/1/2023,COVID,0
30/1/2023,Empty,143
31/1/2023,Non-COVID,178
31/1/2023,COVID,0
31/1/2023,Empty,123
1/2/2023,Non-COVID,189
1/2/2023,COVID,0
1/2/2023,Empty,112
2/2/2023,Non-COVID,175
2/2/2023,COVID,0
2/2/2023,Empty,126
3/2/2023,Non-COVID,184
3/2/2023,COVID,0
3/2/2023,Empty,117
4/2/2023,Non-COVID,193
4/2/2023,COVID,0
4/2/2023,Empty,107
5/2/2023,Non-COVID,189
5/2/2023,COVID,0
5/2/2023,Empty,112
6/2/2023,Non-COVID,194
6/2/2023,COVID,0
6/2/2023,Empty,107
7/2/2023,Non-COVID,203
7/2/2023,COVID,0
7/2/2023,Empty,98
8/2/2023,Non-COVID,197
8/2/2023,COVID,0
8/2/2023,Empty,104
9/2/2023,Non-COVID,202
9/2/2023,COVID,0
9/2/2023,Empty,98
10/2/2023,Non-COVID,200
10/2/2023,COVID,0
10/2/2023,Empty,100
